Row ID	Order ID	Order Date	Order Priority	Order Quantity	Sales	Discount	Ship Mode	Profit	Unit Price	Shipping Cost	First Name	Last Name	Region	Customer Segment	Product Category	Product Sub-Category	Product Name	Product Container	Product Base Margin	Ship Date	BirthDate
1	3	~40464%	Low	06/01/1900	261.54	0.04	Regular Air	-213.25	38.94	35	Muhammed	MacIntyre	Nunavut	Small Business	Office Supplies	Storage & Organization	Eldon Base for stackable storage shelf, platinum	Large Box	0.8	20/10/2010	08/04/1970
49	293	~41183%	High	18/02/1900	10123.02	0.07	Delivery Truck	457.81	208.16	68.02	Barry	French	Nunavut	Consumer	Office Supplies	Appliances	1.7 Cubic Foot Compact "Cube" Office Refrigerators	Jumbo Drum	0.58	02/10/2012	14/05/1969
50	293	~41183%	High	27/01/1900	244.57	0.01	Regular Air	46.71	8.69	2.99	Barry	French	Nunavut	Consumer	Office Supplies	Binders and Binder Accessories	Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl	Small Box	0.39	03/10/2012	12/08/1969
80	483	~40734%	High	30/01/1900	4965.7595	0.08	Regular Air	1198.97	195.99	3.99	Clay	Rozendal	Nunavut	Corporate	Technology	Telephones and Communication	R380	Small Box	0.58	12/07/2011	15/02/1972
85	515	~40418%	Not Specified	19/01/1900	394.27	0.08	Regular Air	30.94	21.78	5.94	Carlos	Soltero	Nunavut	Consumer	Office Supplies	Appliances	Holmes HEPA Air Purifier	Medium Box	0.5	30/08/2010	08/08/1972
86	515	~40418%	Not Specified	21/01/1900	146.69	0.05	Regular Air	4.43	6.64	4.95	Carlos	Soltero	Nunavut	Consumer	Furniture	Office Furnishings	G.E. Longer-Life Indoor Recessed Floodlight Bulbs	Small Pack	0.37	30/08/2010	05/08/1969
97	613	~40711%	High	12/01/1900	93.54	0.03	Regular Air	-54.04	7.3	7.72	Carl	Jackson	Nunavut	Corporate	Office Supplies	Binders and Binder Accessories	Angle-D Binders with Locking Rings, Label Holders	Small Box	0.38	17/06/2011	06/12/1969
98	613	~40711%	High	22/01/1900	905.08	0.09	Regular Air	127.7	42.76	6.22	Carl	Jackson	Nunavut	Corporate	Office Supplies	Storage & Organization	SAFCO Mobile Desk Side File, Wire Frame	Small Box		18/06/2011	09/05/1968
103	643	~40626%	High	21/01/1900	2781.82	0.07	Express Air	-695.26	138.14	35	Monica	Federle	Nunavut	Corporate	Office Supplies	Storage & Organization	SAFCO Commercial Wire Shelving, Black	Large Box		25/03/2011	07/07/1968
107	678	~40235%	Low	13/02/1900	228.41	0.07	Regular Air	-226.36	4.98	8.33	Dorothy	Badders	Nunavut	Home Office	Office Supplies	Paper	Xerox 198	Small Box	0.38	26/02/2010	
127	807	~40505%	Medium	14/02/1900	196.85	0.01	Regular Air	-166.85	4.28	6.18	Neola	Schneider	Nunavut	Home Office	Office Supplies	Paper	Xerox 1980	Small Box	0.4	24/11/2010	06/02/1968
128	807	~40505%	Medium	01/02/1900	124.56	0.04	Regular Air	-14.33	3.95	2	Neola	Schneider	Nunavut	Home Office	Office Supplies	Rubber Bands	Advantus Map Pennant Flags and Round Head Tacks	Wrap Bag	0.53	24/11/2010	04/11/1967
134	868	~41068%	Not Specified	01/02/1900	716.84	0	Regular Air	134.72	21.78	5.94	Carlos	Daly	Nunavut	Home Office	Office Supplies	Appliances	Holmes HEPA Air Purifier	Medium Box	0.5	09/06/2012	18/01/1972
135	868	~41068%	Not Specified	31/01/1900	1474.33	0.04	Regular Air	114.46	47.98	3.61	Carlos	Daly	Nunavut	Home Office	Technology	Computer Peripherals	DS/HD IBM Formatted Diskettes, 200/Pack - Staples	Small Pack	0.71	10/06/2012	06/08/1972
149	933	~41125%	Not Specified	15/01/1900	80.61	0.02	Regular Air	-4.72	5.28	2.99	Claudia	Miner	Nunavut	Small Business	Office Supplies	Binders and Binder Accessories	Wilson Jones 1" Hanging DublLock® Ring Binders	Small Box	0.37	04/08/2012	09/05/1972
160	995	~40693%	Medium	15/02/1900	1815.49	0.03	Regular Air	782.91	39.89	3.04	Neola	Schneider	Nunavut	Home Office	Furniture	Office Furnishings	Ultra Commercial Grade Dual Valve Door Closer	Wrap Bag	0.53	31/05/2011	27/02/1983
161	998	~40142%	Not Specified	16/01/1900	248.26	0.07	Regular Air	93.8	15.74	1.39	Allen	Rosenblatt	Nunavut	Small Business	Office Supplies	Envelopes	#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes	Small Box	0.4	26/11/2009	28/04/1983
175	1154	~40953%	Critical	13/02/1900	4462.23	0.04	Delivery Truck	440.72	100.98	26.22	Sylvia	Foulston	Nunavut	Home Office	Furniture	Bookcases	Hon 4-Shelf Metal Bookcases	Jumbo Box	0.6	16/02/2012	26/06/1948
176	1154	~40953%	Critical	11/01/1900	663.784	0.25	Regular Air	-481.04	71.37	69	Sylvia	Foulston	Nunavut	Home Office	Furniture	Tables	Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table	Large Box	0.68	16/02/2012	
203	1344	~41014%	Low	15/01/1900	834.904	0.06	Regular Air	-11.68	65.99	5.26	Jim	Radford	Nunavut	Corporate	Technology	Telephones and Communication	g520	Small Box	0.59	22/04/2012	07/03/1982
204	1344	~41014%	Low	18/01/1900	2480.9205	0.01	Regular Air	313.58	155.99	8.99	Jim	Radford	Nunavut	Corporate	Technology	Telephones and Communication	LX 788	Small Box	0.58	19/04/2012	20/09/1982
213	1412	~40249%	Not Specified	13/01/1900	59.03	0.1	Express Air	26.92	3.69	0.5	Carlos	Soltero	Nunavut	Consumer	Office Supplies	Labels	Avery 52	Small Box	0.38	14/03/2010	03/09/1982
214	1412	~40249%	Not Specified	21/01/1900	97.48	0.05	Regular Air	-5.77	4.71	0.7	Carlos	Soltero	Nunavut	Consumer	Office Supplies	Rubber Bands	Plymouth Boxed Rubber Bands by Plymouth	Wrap Bag	0.8	14/03/2010	12/10/1982
229	1539	~40611%	Low	02/02/1900	511.83	0.1	Regular Air	-172.88	15.99	13.18	Carl	Ludwig	Nunavut	Corporate	Office Supplies	Binders and Binder Accessories	GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2" x 11"	Small Box	0.37	11/03/2011	11/10/1982
230	1539	~40611%	Low	07/02/1900	184.99	0.05	Regular Air	-144.55	4.89	4.93	Carl	Ludwig	Nunavut	Corporate	Technology	Computer Peripherals	Maxell 3.5" DS/HD IBM-Formatted Diskettes, 10/Pack	Small Pack	0.66	14/03/2011	17/09/1982
231	1540	~41125%	High	30/01/1900	80.9	0.09	Regular Air	5.76	2.88	0.7	Don	Miller	Nunavut	Home Office	Office Supplies	Pens & Art Supplies	Newell 335	Wrap Bag	0.56	06/08/2012	23/12/1949
249	1702	~40669%	High	23/01/1900	67.24	0.06	Regular Air	4.9	2.84	0.93	Annie	Cyprus	Nunavut	Home Office	Office Supplies	Pens & Art Supplies	SANFORD Liquid Accent™ Tank-Style Highlighters	Wrap Bag	0.54	07/05/2011	03/04/1950
250	1761	~40535%	High	25/01/1900	12028.23	0.01	Delivery Truck	-547.61	449.99	49	Carl	Ludwig	Nunavut	Corporate	Technology	Copiers and Fax	Canon PC940 Copier	Jumbo Drum	0.38	25/12/2010	07/12/1950
256	1792	~40490%	Low	28/01/1900	370.48	0.04	Regular Air	-5.45	13.48	4.51	Carlos	Soltero	Nunavut	Consumer	Office Supplies	Storage & Organization	Tenex Personal Project File with Scoop Front Design, Black	Small Box	0.59	13/11/2010	11/04/1950
330	2275	~41203%	Not Specified	18/02/1900	278	0.08	Regular Air	41.67	6.08	1.17	Grant	Carroll	Nunavut	Small Business	Office Supplies	Pens & Art Supplies	Col-Erase® Pencils with Erasers	Wrap Bag	0.56	22/10/2012	21/12/1950
331	2277	~40544%	Not Specified	10/01/1900	66.54	0.01	Regular Air	-46.03	5.98	4.38	Don	Miller	Nunavut	Home Office	Technology	Computer Peripherals	Imation 3.5" DS/HD IBM Formatted Diskettes, 10/Pack	Small Pack	0.75	02/01/2011	22/02/1951
332	2277	~40544%	Not Specified	21/01/1900	845.32	0.06	Regular Air	33.67	40.99	19.99	Don	Miller	Nunavut	Home Office	Office Supplies	Paper	White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11	Small Box	0.36	03/01/2011	
362	2532	~40826%	High	08/02/1900	282.07	0.03	Regular Air	140.01	7.31	0.49	Alan	Barnes	Nunavut	Corporate	Office Supplies	Labels	Self-Adhesive Address Labels for Typewriters by Universal	Small Box	0.38	11/10/2011	11/06/1951
363	2532	~40826%	High	24/01/1900	426.037	0.01	Regular Air	-78.96	20.99	2.5	Alan	Barnes	Nunavut	Corporate	Technology	Telephones and Communication	Accessory37	Wrap Bag	0.81	11/10/2011	23/09/1951
381	2631	~40444%	Low	27/01/1900	1078.49	0.08	Regular Air	252.66	40.96	1.99	Jack	Garza	Nunavut	Corporate	Technology	Computer Peripherals	Fuji 5.2GB DVD-RAM	Small Pack	0.55	25/09/2010	19/06/1951
406	2757	~40743%	Critical	08/02/1900	3554.46	0.07	Delivery Truck	-1766.01	95.95	74.35	Julia	West	Nunavut	Corporate	Furniture	Chairs & Chairmats	Bevis Steel Folding Chairs	Jumbo Drum	0.57	19/07/2011	24/02/1952
413	2791	~40095%	High	16/02/1900	191.67	0	Regular Air	-236.27	3.89	7.01	Eugene	Barchas	Nunavut	Corporate	Office Supplies	Binders and Binder Accessories	Avery Binder Labels	Small Box	0.37	09/10/2009	18/12/1982
414	2791	~40095%	High	18/02/1900	5586.33	0.09	Delivery Truck	80.44	120.98	30	Eugene	Barchas	Nunavut	Corporate	Furniture	Chairs & Chairmats	Hon Every-Day® Chair Series Swivel Task Chairs	Jumbo Drum	0.64	11/10/2009	27/11/1981
415	2791	~40095%	High	18/01/1900	507.64	0.1	Regular Air	118.94	30.98	5.76	Eugene	Barchas	Nunavut	Corporate	Office Supplies	Paper	IBM Multi-Purpose Copy Paper, 8 1/2 x 11", Case	Small Box	0.4	10/10/2009	23/03/1952
440	2976	~40521%	Not Specified	30/01/1900	14223.82	0.09	Delivery Truck	3424.22	500.98	26	Edward	Hooks	Nunavut	Consumer	Furniture	Chairs & Chairmats	Global Troy™ Executive Leather Low-Back Tilter	Jumbo Drum	0.6	11/12/2010	17/12/1952
471	3232	~41190%	Critical	05/01/1900	42.66	0.06	Regular Air	-11.83	7.84	4.71	Brad	Eason	Nunavut	Small Business	Office Supplies	Binders and Binder Accessories	XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal	Small Box	0.35	10/10/2012	01/08/1981
513	3524	~41031%	High	21/01/1900	427.32	0	Regular Air	52.35	18.97	9.03	Nicole	Hansen	Nunavut	Small Business	Office Supplies	Paper	Computer Printout Paper with Letter-Trim Perforations	Small Box	0.37	03/05/2012	16/10/1981
577	3908	~40245%	Medium	08/01/1900	820.284	0	Regular Air	-180.2	115.99	2.5	Dorothy	Wardle	Nunavut	Corporate	Technology	Telephones and Communication	6160	Small Box	0.57	08/03/2010	13/06/1981
606	4132	~40691%	Not Specified	05/01/1900	14.76	0.01	Regular Air	1.32	2.88	0.5	Aaron	Bergman	Nunavut	Corporate	Office Supplies	Labels	Avery 49	Small Box	0.36	30/05/2011	24/02/1980
656	4612	~40440%	Medium	09/01/1900	89.55	0.06	Regular Air	-375.64	4.48	49	Jim	Radford	Nunavut	Corporate	Office Supplies	Appliances	Hoover Portapower™ Portable Vacuum	Large Box	0.6	21/09/2010	24/05/1953
669	4676	~40786%	High	11/01/1900	1210.0515	0.04	Regular Air	-104.25	125.99	7.69	Annie	Cyprus	Nunavut	Home Office	Technology	Telephones and Communication	Timeport L7089	Small Box	0.58	01/09/2011	19/05/1954
670	4676	~40786%	High	19/02/1900	187.83	0.03	Regular Air	85.96	3.75	0.5	Annie	Cyprus	Nunavut	Home Office	Office Supplies	Labels	Avery 510	Small Box	0.37	02/09/2011	22/03/1954
671	4676	~40786%	High	03/01/1900	49.59	0.07	Express Air	-8.38	12.28	6.47	Annie	Cyprus	Nunavut	Home Office	Office Supplies	Paper	Xerox 1881	Small Box	0.38	02/09/2011	27/02/1954
672	4676	~40786%	High	30/01/1900	4253.009	0.01	Regular Air	1115.69	155.99	8.99	Annie	Cyprus	Nunavut	Home Office	Technology	Telephones and Communication	LX 788	Small Box	0.58	01/09/2011	22/11/1954
734	5284	~40732%	Not Specified	07/01/1900	59.38	0.1	Regular Air	-3.05	8.69	2.99	Annie	Cyprus	Nunavut	Home Office	Office Supplies	Binders and Binder Accessories	Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl	Small Box	0.39	10/07/2011	18/07/1984
735	5316	~39843%	Critical	11/02/1900	1285.37	0.1	Regular Air	514.07	31.78	1.99	Clay	Rozendal	Nunavut	Corporate	Technology	Computer Peripherals	Memorex 4.7GB DVD-RAM, 3/Pack	Small Pack	0.42	01/02/2009	07/09/1955
755	5409	~40916%	Low	11/01/1900	48.91	0.01	Regular Air	-7.04	3.98	2.97	Don	Jones	Nunavut	Corporate	Office Supplies	Paper	Unpadded Memo Slips	Wrap Bag	0.35	13/01/2012	04/08/1955
769	5506	~40489%	Critical	22/01/1900	129.62	0.05	Regular Air	4.41	5.88	3.04	Beth	Thompson	Nunavut	Corporate	Office Supplies	Paper	Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4"X8 1/2", 300/Messages	Wrap Bag	0.36	08/11/2010	07/08/1955
782	5569	~40297%	Not Specified	12/01/1900	118.97	0.09	Regular Air	-0.06	9.65	6.22	Frank	Price	Nunavut	Corporate	Furniture	Office Furnishings	Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak	Small Box	0.55	01/05/2010	20/08/1984
786	5607	~40908%	Not Specified	08/01/1900	61.8715	0	Regular Air	-50.33	7.99	5.03	Michelle	Lonsdale	Nunavut	Home Office	Technology	Telephones and Communication	Bell Sonecor JB700 Caller ID	Medium Box	0.6	03/01/2012	10/03/1956
817	5894	~40037%	High	07/01/1900	384.33	0.1	Regular Air	87.68	58.1	1.49	Ann	Chong	Nunavut	Corporate	Office Supplies	Binders and Binder Accessories	Avery Arch Ring Binders	Small Box	0.38	13/08/2009	05/03/1956
818	5894	~40037%	High	03/01/1900	239.03	0.01	Regular Air	-68.22	80.48	4.5	Ann	Chong	Nunavut	Corporate	Office Supplies	Appliances	APC 7 Outlet Network SurgeArrest Surge Protector	Small Box	0.55	15/08/2009	03/04/1957
821	5925	~40859%	Low	13/02/1900	3922.42	0.08	Regular Air	-354.9	92.23	39.61	Joy	Bell	Nunavut	Home Office	Furniture	Office Furnishings	Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting	Medium Box	0.67	19/11/2011	12/10/1957
822	5925	~40859%	Low	25/01/1900	1733.3625	0.07	Regular Air	-267.01	85.99	0.99	Joy	Bell	Nunavut	Home Office	Technology	Telephones and Communication	Accessory4	Wrap Bag	0.85	19/11/2011	27/04/1958
839	6016	~40928%	High	19/01/1900	208.28	0.07	Regular Air	3.63	11.48	5.43	Skye	Norling	Nunavut	Home Office	Office Supplies	Paper	Personal Creations™ Ink Jet Cards and Labels	Small Box	0.36	20/01/2012	01/04/1958
853	6116	~39892%	Medium	06/01/1900	9620.82	0.04	Regular Air	-1759.58	1637.53	24.49	Barry	Weirich	Nunavut	Corporate	Office Supplies	Scissors, Rulers and Trimmers	High Speed Automatic Electric Letter Opener	Medium Box	0.81	22/03/2009	17/03/1958
863	6182	~41111%	Low	09/02/1900	255.48	0.04	Regular Air	-116.79	6.48	6.65	Grant	Carroll	Nunavut	Corporate	Office Supplies	Paper	Xerox 1966	Small Box	0.36	28/07/2012	
864	6182	~41111%	Low	18/01/1900	130.32	0.04	Express Air	-67.28	6.48	7.86	Grant	Carroll	Nunavut	Corporate	Office Supplies	Paper	Xerox 213	Small Box	0.37	25/07/2012	02/09/1979
911	6535	~41072%	Critical	11/01/1900	312.36	0.07	Express Air	-19.33	28.15	8.99	Adrian	Hane	Nunavut	Corporate	Office Supplies	Pens & Art Supplies	Boston Electric Pencil Sharpener, Model 1818, Charcoal Black	Small Pack	0.57	15/06/2012	07/04/1979
950	6884	~39828%	Low	10/02/1900	217	0.01	Regular Air	-61.21	4.98	4.75	Skye	Norling	Nunavut	Home Office	Office Supplies	Paper	Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright)	Small Box	0.36	20/01/2009	07/12/1979
951	6884	~39828%	Low	16/02/1900	296.13	0.04	Regular Air	119.09	6.35	1.02	Skye	Norling	Nunavut	Home Office	Office Supplies	Paper	Telephone Message Books with Fax/Mobile Section, 5 1/2" x 3 3/16"	Wrap Bag	0.39	20/01/2009	09/10/1977
956	6916	~40333%	Low	09/02/1900	436.17	0.08	Express Air	-141.27	10.9	7.46	Andrew	Gjertsen	Nunavut	Consumer	Office Supplies	Storage & Organization	Crate-A-Files™	Small Box	0.59	08/06/2010	27/11/1977
963	6980	~40227%	Not Specified	18/01/1900	136.29	0.05	Regular Air	-77.28	7.3	7.72	Ralph	Knight	Nunavut	Consumer	Office Supplies	Binders and Binder Accessories	Angle-D Binders with Locking Rings, Label Holders	Small Box	0.38	19/02/2010	25/09/1980
964	6982	~40863%	Not Specified	01/02/1900	1311.25	0	Express Air	407.44	39.48	1.99	Dorothy	Wardle	Nunavut	Corporate	Technology	Computer Peripherals	80 Minute CD-R Spindle, 100/Pack - Staples	Small Pack	0.54	18/11/2011	23/09/1959
965	6982	~40863%	Not Specified	05/01/1900	544.41	0.09	Delivery Truck	-338.27	100.98	57.38	Dorothy	Wardle	Nunavut	Corporate	Furniture	Bookcases	Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled	Jumbo Box	0.78	18/11/2011	21/09/1959
966	6982	~40863%	Not Specified	10/02/1900	844.09	0.04	Regular Air	52.56	19.98	10.49	Dorothy	Wardle	Nunavut	Corporate	Furniture	Office Furnishings	12-1/2 Diameter Round Wall Clock	Small Box	0.49	18/11/2011	05/04/1959
